Team Name,Boys Website,Girls Website,Rink Name,Boys Rink,Girls Rink,Address,Phone #,Boys Ages,Girls Ages,Boys Leagues,Girls Leagues,Logo
Newton Country Day School,,https://www.newtoncountryday.org/,NCDS,NCDS,NCDS,Newton MA,,Grades 5-12,Grades 5-12,,ISL,team-logos/logo-Newton-Country-Day-School.png
NH East Eagles,https://www.nheeagles.org/,https://www.nheeagles.org/,Rinks at Exeter / Phillips Exeter / Haverhill,Rinks at Exeter,Rinks at Exeter,Exeter NH,,U8-U18,U8-U18,NHAHA,NHAHA,team-logos/logo-NH-East-Eagles.png
NH Mountain Kings,https://www.mountainkingshockey.com/,https://www.mountainkingshockey.com/,Delta Dental Arena (Tri-Town),Delta Dental Arena,Delta Dental Arena,311 West River Rd Hooksett NH,,U8-Academy,U8-Academy,NHAHA,NHAHA,team-logos/logo-NH-Mountain-Kings.png
NH Selects,https://www.nhselects.com/,https://www.nhselects.com/,Tri-Town Ice Arena / St. Anselm / Tilton School,"Tri-Town, St. Anselm, Tilton","Tri-Town, St. Anselm, Tilton",NH,,U8-U18,U8-U18,"Granite State, NEHL",NHAHA,team-logos/logo-NH-Selects.png
Nobles & Greenough School,https://www.nobles.edu/,https://www.nobles.edu/,Nobles,Nobles,Nobles,"10 Campus Dr, Dedham, MA 02026",,Grades 7-12,Grades 7-12,ISL,ISL,team-logos/logo-Nobles---Greenough-School.png
North Suburban Wings,https://nswingshc.com/,https://nswingsgirls.com/,Essex Sports Center,Essex Sports Center,Essex Sports Center,Middleton MA,,U6-U18,U6-U18,"EHF, PHL","PHL, EHF, NEGHL",team-logos/logo-North-Suburban-Wings.png
Northeast Generals,https://www.northeastgenerals.com/,https://www.northeastgenerals.com/,Canton Ice House,Canton Ice House,Canton Ice House,Canton/Bridgewater/Foxboro MA,,Youth-Junior,Youth-Junior,"NAHL, NA3HL, EHL",MAHO,team-logos/logo-Northeast-Generals.png
Northern CT Lights,,https://www.northerncthockey.com/,International Skating Center of Connecticut,International Skating Center of Connecticut,ISCC Simsbury,"1375 Hopmeadow Street, Simsbury, CT 06070",,U8-U19,U8-U19,,"NEGHL, CHC, CTGHL",team-logos/logo-Northern-CT-Lights.png
Northern Cyclones,https://www.northerncyclones.com/,https://www.northerncyclones.com/,Cyclones Arena Hudson,Cyclones Arena Hudson,Cyclones Arena Hudson,Hudson NH; Cyclones Training Center Nashua NH,,8U-U20,8U-U20,"EHF, GSHL",same,team-logos/logo-Northern-Cyclones.png
Northern Maine Pioneers,https://www.northernmainepioneers.com/,,The Forum,The Forum,The Forum,Presque Isle ME,,Junior,Junior,NCDC,,team-logos/logo-Northern-Maine-Pioneers.png
Northfield Mount Hermon School,https://www.nmhschool.org/,https://www.nmhschool.org/,NMH,NMH,NMH,"1 Lamplighter Way, Gill, MA 01354",,Grades 9-12,Grades 9-12,NEPSAC,NEPSAC,team-logos/logo-Northfield-Mount-Hermon-School.png
NS Vipers,,https://www.northshorevipers.com/,Breakaway Ice Center,Breakaway Ice Center,Breakaway Ice Center,Tewksbury MA,,U10-U19,U10-U19,,NEGHL,team-logos/logo-NS-Vipers.png
Oyster River,https://www.oysterriverhockey.com/,https://www.oysterriverhockey.com/,,Churchill Rink,Churchill Rink,Oyster River NH,,,,NHAHA,NHAHA,team-logos/logo-Oyster-River.png
Phillips Academy - Andover,https://www.andover.edu/,https://www.andover.edu/,Phillips Academy,Phillips Academy,Phillips Academy,"180 Main St, Andover, MA 01810",,Grades 9-12,Grades 9-12,NEPSAC,NEPSAC,team-logos/logo-Phillips-Academy---Andover.png
Phillips Exeter Academy,https://www.exeter.edu/,https://www.exeter.edu/,Love Gym Rinks,Love Gym Rinks,Love Gym Rinks,"20 Main St, Exeter, NH 03833",,Grades 9-12,Grades 9-12,NEPSAC,NEPSAC,team-logos/logo-Phillips-Exeter-Academy.png
Pingree School,https://www.pingree.org/,https://www.pingree.org/,Pingree School,Pingree School,Pingree School,"537 Highland St, South Hamilton, MA 01982",,Grades 9-12,Grades 9-12,NEPSAC,NEPSAC,team-logos/logo-Pingree-School.png
Plymouth Jr Panthers,https://plymouthyouthhockey.sportngin.com/,same,Plymouth State University Ice Arena,Plymouth State University,Plymouth State University,Plymouth NH,,U10-U18,U10-U18,NHAHA,NHAHA,team-logos/logo-Plymouth-Jr-Panthers.png
Pomfret School,https://www.pomfret.org/,https://www.pomfret.org/,Pomfret School,Pomfret School,Pomfret School,"6 Paradise Road, Pomfret, CT 06258",,Grades 9-12,Grades 9-12,NEPSAC,NEPSAC,team-logos/logo-Pomfret-School.png
Portsmouth Abbey School,https://www.portsmouthabbey.org/,https://www.portsmouthabbey.org/,Portsmouth Abbey,Portsmouth Abbey,Portsmouth Abbey,"285 Cory's Ln, Portsmouth, RI 02871",,Grades 9-12,Grades 9-12,NEPSAC,NEPSAC,team-logos/logo-Portsmouth-Abbey-School.png
Proctor Academy,https://www.proctoracademy.org/,https://www.proctoracademy.org/,Proctor Academy,Proctor Academy,Proctor Academy,"204 Main Street, Andover, NH 03216",,Grades 9-12,Grades 9-12,NEPSAC,NEPSAC,team-logos/logo-Proctor-Academy.png
Providence Capitals,https://providencehockeyclub.com/,https://providencehockeyclub.com/,RI Sports Center/Lynch Arena/Schneider,RI Sports Center,RI Sports Center,Multiple RI locations,,Mite-Junior,Mite-Junior,EHF,EHF,team-logos/logo-Providence-Capitals.png
RI Jr. Blues,https://www.thenephl.com/,https://www.thenephl.com/,Boss/Rodman/Thayer/Warburton Arenas,Boss/Rodman/Thayer,Boss/Rodman/Thayer,RI,,,,PHLNE,PHLNE,team-logos/logo-RI-Jr--Blues.png
RI Sting,,https://ri-hockey.org/,Schneider Arena,Schneider Arena,Schneider Arena,Providence RI,,U10-U19,U10-U19,,NEGHL,team-logos/logo-RI-Sting.png
Rivers School,https://www.rivers.org/,https://www.rivers.org/,Rivers School,Rivers School,Rivers School,"333 Winter St, Weston, MA 02493",,Grades 6-12,Grades 6-12,ISL,ISL,team-logos/logo-Rivers-School.png
Rochester,https://www.rochesterblackhawks.com/,https://www.rochesterblackhawks.com/,,Rochester NH,Rochester NH,Rochester NH,,,,NHAHA,NHAHA,team-logos/logo-Rochester.png
Rumsey Hall School,https://www.rumseyhall.org/,https://www.rumseyhall.org/,Rumsey Hall,Rumsey Hall,Rumsey Hall,Washington Depot CT,,Grades K-9,Grades K-9,Prep,Prep,team-logos/logo-Rumsey-Hall-School.png
Sacred Heart Greenwich,,https://www.sacredheartgreenwich.org/,Sacred Heart,Sacred Heart,Sacred Heart,"1177 King Street, Greenwich, CT 06836",,Grades K-12,Grades K-12,,"NEPSAC, FAA",team-logos/logo-Sacred-Heart-Greenwich.png
Seacoast Spartans,https://www.seacoastspartans.com/,https://www.seacoastspartans.com/,The Rinks at Exeter,The Rinks at Exeter,The Rinks at Exeter,"40 Industrial Dr, Exeter, NH 03833",(603) 775-7423,13U-20U,13U-20U,EHF,EHF,team-logos/logo-Seacoast-Spartans.png
Seahawks Hockey Club,https://www.seahawkshockey.com/,https://www.seahawkshockey.com/,Tony Kent Arena / Hyannis Youth Center,Tony Kent Arena,Tony Kent Arena,South Dennis/Hyannis MA,,U8-Junior,U8-Junior,"EHL, EHLP",same,team-logos/logo-Seahawks-Hockey-Club.png
Shoreline Sharks,,https://www.shorelinesharkshockey.com/,Hamden/East Haven/Northford rinks,Hamden/East Haven/Northford rinks,"Northford, Wonderland",Southern CT,,U8-U19,U8-U19,,"CGHL, CHC, NEGHL",team-logos/logo-Shoreline-Sharks.png
South Shore Kings,https://southshorekings.com/,https://southshorekings.com/,Foxboro Sports Center,Foxboro Sports Center,Foxboro Sports Center,"10 E Belcher Rd, Foxboro, MA 02035",,Mite-Bantam-Junior,Mite-Bantam-Junior,"EHF, USPHL",same,team-logos/logo-South-Shore-Kings.png
Springfield Pics,https://www.springfieldjrpics.com/,https://www.springfieldjrpics.com/,Olympia Ice Center,Olympia Ice Center,Olympia Ice Center,"125 Capital Dr, West Springfield, MA 01089",(413) 736-8100,Mite-Junior,Mite-Junior,"USPHL, NCDC",same,team-logos/logo-Springfield-Pics.png
St. George's School,www.stgeorges.edu,www.stgeorges.edu,St. George's School,St. George's School,St. George's School,"372 Purgatory Road, Middletown, RI 02842",,Grades 9-12,Grades 9-12,NEPSAC,,team-logos/logo-St--George-s-School.png
St. Mark's School,www.stmarksschool.org,www.stmarksschool.org,St. Mark's School,St. Mark's School,St. Mark's School,"25 Marlborough Rd, Southborough, MA 01772",,Grades 9-12,Grades 9-12,NEPSAC ISL,,team-logos/logo-St--Mark-s-School.png
St. Paul's School,www.sps.edu,www.sps.edu,St. Paul's School,St. Paul's School,St. Paul's School,"325 Pleasant St, Concord, NH 03301",,Grades 9-12,Grades 9-12,NEPSAC,,team-logos/logo-St--Paul-s-School.png
Tabor Academy,https://www.taboracademy.org/,https://www.taboracademy.org/,Tabor Academy,Tabor Academy,Tabor Academy,"66 Spring St, Marion, MA 02738",,Grades 9-12,Grades 9-12,NEPSAC,NEPSAC,team-logos/logo-Tabor-Academy.png
Taft School,https://www.taftschool.org/,https://www.taftschool.org/,Taft School,Taft School,Taft School,"110 Woodbury Rd, Watertown, CT 06795",,Grades 9-12,Grades 9-12,NEPSAC,NEPSAC,team-logos/logo-Taft-School.png
Thayer Academy,https://www.thayer.org/,https://www.thayer.org/,Thayer Sports Center,Thayer Sports Center,Thayer Sports Center,"745 Washington St, Braintree, MA 02184",,Grades 6-12,Grades 6-12,ISL,ISL,team-logos/logo-Thayer-Academy.png
The Fessenden School,https://www.fessenden.org/,,Fessenden School,Fessenden School,Fessenden School,"250 Waltham St, West Newton, MA 02465",,Grades 6-9,Grades 6-9,Prep,,team-logos/logo-The-Fessenden-School.png
The Rectory School,https://www.rectoryschool.org/,https://www.rectoryschool.org/,Rectory School,Rectory School,Rectory School,"528 Pomfret Street, Pomfret, CT 06258",,Grades 5-9,Grades 5-9,Prep,Prep,team-logos/logo-The-Rectory-School.png
Thunder Hockey Club,https://www.thunderhockeyclub.com/,,,Rinks at Exeter,Rinks at Exeter,"40 Industrial Dr, Exeter, NH 03833",Junior,NCDC/USPHL Premier,NCDC/USPHL Premier,"NCDC, USPHL",,team-logos/logo-Thunder-Hockey-Club.png
Tilton School,https://www.tiltonschool.org/,https://www.tiltonschool.org/,Tilton School,Tilton School,Tilton School,"30 School St, Tilton, NH 03276",,Grades 9-12,Grades 9-12,NEPSAC,NEPSAC,team-logos/logo-Tilton-School.png
Upper Valley,https://www.uvha.org/,https://www.uvha.org/,,Upper Valley NH/VT,Upper Valley NH/VT,Upper Valley NH/VT,,,,NHAHA,NHAHA,team-logos/logo-Upper-Valley.png
Valley Jr. Warriors,https://www.valleyjrwarriors.com/,,Warrior-owned rinks,Warrior-owned rinks,Warrior-owned rinks,Massachusetts,,U15-U18-Junior,U15-U18-Junior,"EHF, EHL",,team-logos/logo-Valley-Jr--Warriors.png
Vermont Academy,https://www.vermontacademy.org/,https://www.vermontacademy.org/,Vermont Academy,Vermont Academy,Vermont Academy,"10 Long Walk, Saxtons River, VT 05154",,Grades 9-12,Grades 9-12,NEPSAC,NEPSAC,team-logos/logo-Vermont-Academy.png
Vermont Flames,https://vtflameshockey.com/,https://vtflameshockey.com/,Montpelier Civic Center/Waterbury/UVM,"Montpelier, Waterbury, UVM","Montpelier, Waterbury, UVM",Montpelier/Waterbury/Burlington VT,,Peewee-U18,Peewee-U18,"EHF, NEGHL","EHF, NEGHL",team-logos/logo-Vermont-Flames.png
Vipers,https://www.westernmassvipers.com/,https://www.westernmassvipers.com/,Western MA rinks,Western MA,Western MA,Massachusetts/CT/NY,,14U-18U,14U-18U,PHLNE,PHLNE,team-logos/logo-Vipers.png
VT Jr Catamounts,https://www.vermontjrcatamounts.com/,https://www.vermontjrcatamounts.com/,Vermont rinks,Vermont rinks,Vermont rinks,Vermont,,U8-U18,U8-U18,"E9HL, BHL",NEGHL,team-logos/logo-VT-Jr-Catamounts.png
Western Mass Liberty,https://www.amhersthockey.org/,https://www.amhersthockey.org/,Western MA rinks,Western MA,Western MA,Western Massachusetts,,U8-U19,U8-U19,NEGHL,"NEGHL, CTGHL",team-logos/logo-Western-Mass-Liberty.png
Westminster School,https://www.westminster-school.org/,https://www.westminster-school.org/,Westminster School,Westminster School,Westminster School,"995 Hopmeadow Street, Simsbury, CT 06070",,Grades 9-12,Grades 9-12,NEPSAC,NEPSAC,team-logos/logo-Westminster-School.png
Williston Northampton School,https://www.williston.com/,https://www.williston.com/,Williston Northampton,Williston Northampton,Williston Northampton,"19 Payson Ave, Easthampton, MA 01027",,Grades 9-12,Grades 9-12,NEPSAC,NEPSAC,team-logos/logo-Williston-Northampton-School.png
Winsor School,,https://www.winsor.edu/,Winsor School,Winsor School,Winsor School,"103 Pilgrim Rd, Boston, MA 02215",,Grades 5-12,Grades 5-12,,ISL,team-logos/logo-Winsor-School.png
Worcester Academy,https://www.worcesteracademy.org/,https://www.worcesteracademy.org/,Worcester Academy,Worcester Academy,Worcester Academy,"81 Providence St, Worcester, MA 01604",,Grades 6-12,Grades 6-12,NEPSAC,NEPSAC,team-logos/logo-Worcester-Academy.png
Worcester Jr. Crusaders,https://jrcrusadershockey.com/,https://jrcrusadershockey.com/,,Worcester area,Worcester area,Worcester/Central MA,,,,Coed & Girls,Coed & Girls,team-logos/logo-Worcester-Jr--Crusaders.png
Worcester Railers JHC,https://worcesterrailersjhc.com/,,Worcester Ice Center,Worcester Ice Center,Worcester Ice Center,"112 Harding St, Worcester, MA 01604",,Junior,Junior,"NCDC, USPHL",,team-logos/logo-Worcester-Railers-JHC.png
Worcester White Hawks,,https://www.worcesterwhitehawks.com/,Fidelity Bank Worcester Ice Center,Fidelity Bank Worcester Ice Center,Worcester Ice Center,Worcester MA,,U8-U19,U8-U19,,NEGHL,team-logos/logo-Worcester-White-Hawks.png
